"Model","XAI Method","UQ Method","Accuracy","F1-macro","ECE","NLL","Predictive Entropy","Probability Variance","XAI Time (ms)","Params (M)"
"ResNet-50","GradCAM++","TS + MC Dropout","0.9932","0.9900","0.2112","0.2718","1.1097","0.000065","143.64","23.6"
"ResNet-50","EigenCAM","TS + MC Dropout","0.9932","0.9900","0.2112","0.2718","1.1097","0.000065","775.52","23.6"
"ResNet-50","HiResCAM","TS + MC Dropout","0.9932","0.9900","0.2112","0.2718","1.1097","0.000065","122.19","23.6"
"EfficientNet-B2","GradCAM++","TS + MC Dropout","0.9954","0.9930","0.2092","0.2581","1.1104","0.000038","194.19","7.7"
"EfficientNet-B2","EigenCAM","TS + MC Dropout","0.9954","0.9930","0.2092","0.2581","1.1104","0.000038","354.71","7.7"
"EfficientNet-B2","HiResCAM","TS + MC Dropout","0.9954","0.9930","0.2092","0.2581","1.1105","0.000038","171.45","7.7"
"MobileNetV2","GradCAM++","TS + MC Dropout","0.9920","0.9876","0.2202","0.2895","1.1464","0.000055","126.10","2.3"
"MobileNetV2","EigenCAM","TS + MC Dropout","0.9920","0.9876","0.2202","0.2895","1.1464","0.000055","314.07","2.3"
"MobileNetV2","HiResCAM","TS + MC Dropout","0.9920","0.9876","0.2202","0.2895","1.1464","0.000055","92.72","2.3"
"DenseNet-121","GradCAM++","TS + MC Dropout","0.9909","0.9869","0.1985","0.2617","1.0621","0.000099","271.92","7.0"
"DenseNet-121","EigenCAM","TS + MC Dropout","0.9909","0.9869","0.1985","0.2617","1.0621","0.000099","285.79","7.0"
"DenseNet-121","HiResCAM","TS + MC Dropout","0.9909","0.9869","0.1985","0.2617","1.0621","0.000099","239.24","7.0"
